0,1,2,3,4,5,6,7,8
AUDI,A3,HybridElectric,ShortRange,HighEnd,2010s,West,NotEligible,553
AUDI,A3,HybridElectric,ShortRange,HighEnd,2010s,West,ALL,553
AUDI,A3,HybridElectric,ShortRange,HighEnd,2010s,ALL,NotEligible,553
AUDI,A3,HybridElectric,ShortRange,HighEnd,2010s,ALL,ALL,553
AUDI,A3,HybridElectric,ShortRange,HighEnd,ALL,West,NotEligible,553
AUDI,A3,HybridElectric,ShortRange,HighEnd,ALL,West,ALL,553
AUDI,A3,HybridElectric,ShortRange,HighEnd,ALL,ALL,NotEligible,553
AUDI,A3,HybridElectric,ShortRange,HighEnd,ALL,ALL,ALL,553
AUDI,A3,HybridElectric,ShortRange,ALL,2010s,West,NotEligible,553
AUDI,A3,HybridElectric,ShortRange,ALL,2010s,West,ALL,553
AUDI,A3,HybridElectric,ShortRange,ALL,2010s,ALL,NotEligible,553
AUDI,A3,HybridElectric,ShortRange,ALL,2010s,ALL,ALL,553
AUDI,A3,HybridElectric,ShortRange,ALL,ALL,West,NotEligible,553
AUDI,A3,HybridElectric,ShortRange,ALL,ALL,West,ALL,553
AUDI,A3,HybridElectric,ShortRange,ALL,ALL,ALL,NotEligible,553
AUDI,A3,HybridElectric,ShortRange,ALL,ALL,ALL,ALL,553
AUDI,A3,HybridElectric,ALL,HighEnd,2010s,West,NotEligible,553
AUDI,A3,HybridElectric,ALL,HighEnd,2010s,West,ALL,553
AUDI,A3,HybridElectric,ALL,HighEnd,2010s,ALL,NotEligible,553
AUDI,A3,HybridElectric,ALL,HighEnd,2010s,ALL,ALL,553
AUDI,A3,HybridElectric,ALL,HighEnd,ALL,West,NotEligible,553
AUDI,A3,HybridElectric,ALL,HighEnd,ALL,West,ALL,553
AUDI,A3,HybridElectric,ALL,HighEnd,ALL,ALL,NotEligible,553
AUDI,A3,HybridElectric,ALL,HighEnd,ALL,ALL,ALL,553
AUDI,A3,HybridElectric,ALL,ALL,2010s,West,NotEligible,553
AUDI,A3,HybridElectric,ALL,ALL,2010s,West,ALL,553
AUDI,A3,HybridElectric,ALL,ALL,2010s,ALL,NotEligible,553
AUDI,A3,HybridElectric,ALL,ALL,2010s,ALL,ALL,553
AUDI,A3,HybridElectric,ALL,ALL,ALL,West,NotEligible,553
AUDI,A3,HybridElectric,ALL,ALL,ALL,West,ALL,553
AUDI,A3,HybridElectric,ALL,ALL,ALL,ALL,NotEligible,553
AUDI,A3,HybridElectric,ALL,ALL,ALL,ALL,ALL,553
AUDI,A3,ALL,ShortRange,HighEnd,2010s,West,NotEligible,553
AUDI,A3,ALL,ShortRange,HighEnd,2010s,West,ALL,553
AUDI,A3,ALL,ShortRange,HighEnd,2010s,ALL,NotEligible,553
AUDI,A3,ALL,ShortRange,HighEnd,2010s,ALL,ALL,553
AUDI,A3,ALL,ShortRange,HighEnd,ALL,West,NotEligible,553
AUDI,A3,ALL,ShortRange,HighEnd,ALL,West,ALL,553
AUDI,A3,ALL,ShortRange,HighEnd,ALL,ALL,NotEligible,553
AUDI,A3,ALL,ShortRange,HighEnd,ALL,ALL,ALL,553
AUDI,A3,ALL,ShortRange,ALL,2010s,West,NotEligible,553
AUDI,A3,ALL,ShortRange,ALL,2010s,West,ALL,553
AUDI,A3,ALL,ShortRange,ALL,2010s,ALL,NotEligible,553
AUDI,A3,ALL,ShortRange,ALL,2010s,ALL,ALL,553
AUDI,A3,ALL,ShortRange,ALL,ALL,West,NotEligible,553
AUDI,A3,ALL,ShortRange,ALL,ALL,West,ALL,553
AUDI,A3,ALL,ShortRange,ALL,ALL,ALL,NotEligible,553
AUDI,A3,ALL,ShortRange,ALL,ALL,ALL,ALL,553
AUDI,A3,ALL,ALL,HighEnd,2010s,West,NotEligible,553
AUDI,A3,ALL,ALL,HighEnd,2010s,West,ALL,553
AUDI,A3,ALL,ALL,HighEnd,2010s,ALL,NotEligible,553
AUDI,A3,ALL,ALL,HighEnd,2010s,ALL,ALL,553
AUDI,A3,ALL,ALL,HighEnd,ALL,West,NotEligible,553
AUDI,A3,ALL,ALL,HighEnd,ALL,West,ALL,553
AUDI,A3,ALL,ALL,HighEnd,ALL,ALL,NotEligible,553
AUDI,A3,ALL,ALL,HighEnd,ALL,ALL,ALL,553
AUDI,A3,ALL,ALL,ALL,2010s,West,NotEligible,553
AUDI,A3,ALL,ALL,ALL,2010s,West,ALL,553
AUDI,A3,ALL,ALL,ALL,2010s,ALL,NotEligible,553
AUDI,A3,ALL,ALL,ALL,2010s,ALL,ALL,553
AUDI,A3,ALL,ALL,ALL,ALL,West,NotEligible,553
AUDI,A3,ALL,ALL,ALL,ALL,West,ALL,553
AUDI,A3,ALL,ALL,ALL,ALL,ALL,NotEligible,553
AUDI,A3,ALL,ALL,ALL,ALL,ALL,ALL,553
AUDI,E-TRON,FullElectric,LongRange,HighEnd,2010s,West,Eligible,535
AUDI,E-TRON,FullElectric,LongRange,HighEnd,2010s,West,ALL,535
