Combination,Count
ALFA ROMEO,42
ALFA ROMEO-TONALE,42
ALFA ROMEO-TONALE-Plug-in Hybrid Electric Vehicle (PHEV),42
ALFA ROMEO-TONALE-Plug-in Hybrid Electric Vehicle (PHEV)-33,42
ALFA ROMEO-TONALE-Plug-in Hybrid Electric Vehicle (PHEV)-33-59900,42
ALFA ROMEO-TONALE-Plug-in Hybrid Electric Vehicle (PHEV)-33-59900-2024,42
ALFA ROMEO-TONALE-Plug-in Hybrid Electric Vehicle (PHEV)-33-59900-2024-WA,42
ALFA ROMEO-TONALE-Plug-in Hybrid Electric Vehicle (PHEV)-33-59900-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-Plug-in Hybrid Electric Vehicle (PHEV)-33-59900-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-Plug-in Hybrid Electric Vehicle (PHEV)-33-59900-2024-WA,42
ALFA ROMEO-Plug-in Hybrid Electric Vehicle (PHEV)-33-59900-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-33-59900-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-Plug-in Hybrid Electric Vehicle (PHEV)-33-59900-2024,42
ALFA ROMEO-Plug-in Hybrid Electric Vehicle (PHEV)-33-59900-2024-WA,42
ALFA ROMEO-Plug-in Hybrid Electric Vehicle (PHEV)-33-59900-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-33-59900-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-33-59900-2024-WA,42
ALFA ROMEO-33-59900-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-59900-2024-WA-Clean Alternative Fuel Vehicle Eligible,42
ALFA ROMEO-Plug-in Hybrid Electric Vehicle (PHEV)-33-59900,42
ALFA ROMEO-Plug-in Hybrid Electric Vehicle (PHEV)-33-59900-2024,42
