Ever_Married,Age,Graduated,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation,Gender_Female,Gender_Male,Profession_Artist,Profession_Doctor,Profession_Engineer,Profession_Entertainment,Profession_Executive,Profession_Healthcare,Profession_Homemaker,Profession_Lawyer,Profession_Marketing
0,28,1,8.0,0,1.0,6,1,True,False,True,False,False,False,False,False,False,False,False
1,46,1,1.0,1,4.0,7,3,False,True,False,False,False,True,False,False,False,False,False
0,71,0,0.0,0,2.0,6,3,False,True,False,False,False,False,False,False,False,True,False
1,52,0,4.0,0,1.0,4,2,True,False,False,True,False,False,False,False,False,False,False
0,26,1,0.0,0,3.0,6,3,False,True,False,False,False,False,False,True,False,False,False
1,46,1,4.0,1,2.0,6,1,False,True,True,False,False,False,False,False,False,False,False
1,36,1,4.0,0,1.0,3,2,True,False,True,False,False,False,False,False,False,False,False
0,37,1,5.0,0,2.0,3,3,False,True,False,False,False,False,False,True,False,False,False
0,41,1,0.0,0,4.0,4,0,True,False,False,False,False,True,False,False,False,False,False
1,35,1,4.0,2,4.0,6,2,False,True,False,False,False,False,True,False,False,False,False
0,23,0,1.0,0,4.0,6,3,False,True,False,False,False,False,False,True,False,False,False
1,38,1,0.0,1,4.0,6,3,False,True,False,False,False,True,False,False,False,False,False
1,88,1,1.0,0,2.0,6,2,False,True,True,False,False,False,False,False,False,False,False
1,32,0,9.0,0,2.0,2,2,False,True,False,True,False,False,False,False,False,False,False
1,50,1,1.0,1,2.0,6,0,True,False,True,False,False,False,False,False,False,False,False
0,18,0,7.0,0,4.0,4,1,False,True,False,False,False,False,False,True,False,False,False
0,28,0,0.0,0,3.0,6,0,False,True,False,False,False,False,False,True,False,False,False
0,35,0,9.0,0,1.0,6,3,True,False,False,False,False,False,False,False,True,False,False
1,71,1,0.0,2,2.0,6,0,False,True,True,False,False,False,False,False,False,False,False
0,20,0,1.0,0,3.0,6,3,False,True,False,False,False,False,False,True,False,False,False
0,67,0,1.0,0,2.0,6,0,True,False,True,False,False,False,False,False,False,False,False
1,79,0,0.0,2,2.0,6,1,False,True,False,False,False,False,True,False,False,False,False
1,40,1,4.0,0,1.0,6,0,False,True,True,False,False,False,False,False,False,False,False
1,30,1,1.0,0,9.0,4,2,False,True,False,True,False,False,False,False,False,False,False
1,71,1,2.0,0,1.0,6,1,False,True,False,False,False,False,False,False,False,True,False
0,46,1,3.0,0,1.0,3,0,True,False,True,False,False,False,False,False,False,False,False
1,39,1,8.0,2,6.0,7,0,False,True,False,False,False,False,True,False,False,False,False
0,59,1,4.0,0,1.0,6,3,True,False,True,False,False,False,False,False,False,False,False
0,42,1,8.0,0,4.0,6,2,True,False,True,False,False,False,False,False,False,False,False
1,40,1,6.0,1,2.0,6,3,True,False,False,False,False,True,False,False,False,False,False
1,72,1,0.0,2,2.0,2,0,False,True,True,False,False,False,False,False,False,False,False
1,65,0,1.0,0,1.0,4,1,True,False,False,False,False,False,False,False,False,True,False
1,53,1,1.0,1,4.0,3,0,False,True,True,False,False,False,False,False,False,False,False
1,68,0,1.0,2,2.0,6,0,False,True,False,False,False,False,True,False,False,False,False
0,25,1,4.0,0,3.0,6,0,True,False,False,False,False,False,False,True,False,False,False
1,86,1,1.0,0,1.0,6,2,False,True,False,False,False,False,False,False,False,True,False
0,33,1,3.0,0,1.0,6,0,False,True,False,False,False,False,False,True,False,False,False
1,40,1,1.0,1,3.0,2,0,False,True,True,False,False,False,False,False,False,False,False
0,25,0,5.0,0,1.0,4,3,False,True,False,True,False,False,False,False,False,False,False
0,20,0,0.0,0,3.0,6,3,False,True,False,False,False,False,False,True,False,False,False
1,60,0,1.0,1,2.0,6,2,False,True,False,False,False,True,False,False,False,False,False
1,67,0,1.0,2,2.0,4,3,False,True,False,False,False,False,True,False,False,False,False
1,51,1,0.0,0,1.0,4,1,True,False,True,False,False,False,False,False,False,False,False
1,79,1,0.0,0,1.0,6,2,True,False,False,False,False,False,False,False,False,True,False
0,30,0,0.0,0,3.0,6,3,True,False,False,False,False,False,False,True,False,False,False
1,67,0,5.0,1,4.0,4,0,False,True,False,False,False,True,False,False,False,False,False
1,47,1,5.0,1,4.0,6,2,True,False,True,False,False,False,False,False,False,False,False
1,35,1,9.0,2,4.0,6,0,False,True,False,False,False,False,True,False,False,False,False
1,56,1,0.0,1,3.0,6,0,True,False,True,False,False,False,False,False,False,False,False
0,30,0,0.0,0,5.0,4,3,False,True,False,False,False,False,False,True,False,False,False
